n,generation,specimen,fitness,distance
1270,52,21,766.7611495903648,1289.678736699316
1271,52,22,827.6765099790191,1281.9690630536022
1272,52,23,618.2187258399892,1279.5910425079467
1273,53,0,733.2943266975526,1415.2746174749136
1274,53,1,930.8370035040934,1264.13304778274
1275,53,2,778.177858762412,1343.9708878769309
1276,53,3,678.1671347833943,1364.7217039303305
1277,53,4,701.3058208454481,1333.497354446639
1278,53,5,803.4481032083656,1262.1908667804232
1279,53,6,673.3619669212919,1206.72789725616
1280,53,7,846.6550787724809,1403.7901486843775
1281,53,8,1039.8714479967173,1222.9668194518426
1282,53,9,657.8185073812382,1303.2233524106252
1283,53,10,626.4088384267416,1305.7554075996784
1284,53,11,802.8576728474739,1268.6055958958095
1285,53,12,726.0104748051009,1332.5362077431046
1286,53,13,724.1460325985987,1199.0364115809055
1287,53,14,619.9582911513853,1304.7279775849893
1288,53,15,563.4790430677156,1309.1094176481686
1289,53,16,946.5653800269017,1348.6445726748955
1290,53,17,839.237176931165,1247.9455811839973
1291,53,18,918.5051913424539,1266.3642721266767
1292,53,19,734.0147718068267,1399.086059893568
1293,53,20,785.1064062607848,1384.6128211609325
1294,53,21,727.5711793173164,1203.6768958084842
1295,53,22,699.1210945994121,1360.2149583996795
1296,53,23,828.02807931048,1322.0786476308178
1297,54,0,720.8689746919271,1369.803696513167
1298,54,1,852.8783984265691,1319.6120378822081
1299,54,2,777.7732276415791,1347.2885930319403
1300,54,3,772.9452893032934,1414.6083435347311
1301,54,4,1033.3454432672952,1373.9381380344141
1302,54,5,525.4049925150796,1337.3399582051672
1303,54,6,795.4805956332597,1241.0220382053983
1304,54,7,663.1460945876032,1250.8360787341358
1305,54,8,675.3910849888288,1422.455632766205
1306,54,9,723.9730075827799,1332.1507625089366
1307,54,10,737.9396283991781,1409.9805901812942
1308,54,11,649.7226246747337,1285.583147103646
1309,54,12,476.7632907283885,1371.6562455637552
1310,54,13,818.7738255862675,1399.2658115917595
1311,54,14,567.5070074850946,1360.0399747951392
1312,54,15,747.0398208313011,1338.9103292550249
1313,54,16,647.1007536272111,1315.9216548912475
1314,54,17,707.2513773888297,1323.882557722826
1315,54,18,813.2874114827376,1332.1136860555837
1316,54,19,737.7680336209745,1316.4392232567225
1317,54,20,798.2474561962051,1356.117202516123
1318,54,21,662.3104274258154,1322.0989018517987
1319,54,22,864.5799758962835,1416.4905162573089
1320,54,23,744.8321513599212,1320.7111355566008
1321,55,0,820.9450455335286,1327.5430962223459
1322,55,1,856.1716293986498,1341.4903678646017
1323,55,2,776.4827334776477,1323.5427937727477
1324,55,3,1000.0195968539155,1252.7510288692038
1325,55,4,842.0350282964209,1374.0859940946107
1326,55,5,909.5498891335487,1348.475388050655
1327,55,6,494.5498532728468,1340.3044911659188
1328,55,7,771.8612800027113,1266.805263489885
1329,55,8,839.837014877981,1203.1269314888125
1330,55,9,869.5985208542447,1443.484205672212
1331,55,10,876.3584645623533,1342.5366149652446
1332,55,11,596.7524871366312,1317.9459427815898
1333,55,12,865.500882978441,1268.699997825101
1334,55,13,698.9774197858574,1299.9736814757011
1335,55,14,637.2650246807962,1302.1475350026471
1336,55,15,699.5637805486061,1356.2821785115814
1337,55,16,895.6407957782618,1370.9595447420793
1338,55,17,829.4633070811376,1368.5871134038332
1339,55,18,785.9011519859528,1297.9245760405477
1340,55,19,844.3080855076043,1248.930279792204
1341,55,20,777.281230939019,1208.0725062213494
1342,55,21,979.0969019505867,1286.3770969348052
1343,55,22,641.0529280341982,1204.916426266253
1344,55,23,738.1206162497379,1253.627099626114
1345,56,0,757.6380719709719,1307.6399087160721
1346,56,1,829.6440096089074,1295.6674975842222
1347,56,2,547.2739329911058,1340.3806481408396
1348,56,3,801.2320931670731,1371.4827362327458
1349,56,4,794.4129424059956,1302.5432334825064
1350,56,5,760.448387294419,1304.9106551784325
1351,56,6,741.4619006769794,1341.0380281708578
1352,56,7,815.7781385487466,1353.0461791666216
1353,56,8,636.9372880315992,1309.4572484630155
1354,56,9,993.672358987649,1351.684056352528
1355,56,10,669.9038742441398,1278.3673337174646
1356,56,11,835.7495865842561,1343.9751478870755
1357,56,12,627.0644541407256,1370.9707203354458
1358,56,13,565.9176135768822,1204.8356513458145
1359,56,14,720.0422064605898,1257.3959299624312
1360,56,15,869.3699979579025,1240.8689035296854
1361,56,16,755.8383948965177,1287.2399342641834
1362,56,17,585.6840728050752,1333.2100338074115
1363,56,18,852.2966618217022,1330.2406407002466
1364,56,19,601.4898764212151,1218.1709978324002
1365,56,20,591.9123320080059,1273.6531303912782
1366,56,21,577.0475046048941,1307.602683317687
1367,56,22,850.4815897049862,1290.0567512170614
1368,56,23,466.6805951536062,1368.0103906876855
1369,57,0,678.2777285639892,1242.548260536035
